iter	Passed	Remaining
418	3253	628
419	3260	621
420	3266	613
421	3274	605
422	3280	597
423	3286	589
424	3294	581
425	3301	573
426	3308	565
427	3315	557
428	3322	549
429	3329	542
430	3336	534
431	3344	526
432	3351	518
433	3359	510
434	3366	503
435	3374	495
436	3380	487
437	3387	479
438	3394	471
439	3400	463
440	3408	455
441	3414	448
442	3421	440
443	3428	432
444	3435	424
445	3442	416
446	3449	408
447	3456	401
448	3463	393
449	3470	385
450	3477	377
451	3483	369
452	3496	362
453	3506	355
454	3516	347
455	3524	340
456	3530	332
457	3539	324
458	3554	317
459	3563	309
460	3575	302
461	3591	295
462	3600	287
463	3611	280
464	3619	272
465	3640	265
466	3650	257
467	3656	250
468	3671	242
469	3682	235
470	3690	227
471	3696	219
472	3703	211
473	3710	203
474	3717	195
475	3723	187
476	3730	179
477	3738	172
478	3744	164
479	3750	156
480	3757	148
481	3763	140
482	3771	132
483	3777	124
484	3785	117
485	3792	109
486	3800	101
487	3806	93
488	3813	85
489	3820	77
490	3827	70
491	3834	62
492	3841	54
493	3848	46
494	3855	38
495	3861	31
496	3868	23
497	3875	15
498	3882	7
499	3889	0
