iter	MultiClass
318	0.8583822256
319	0.8581546131
320	0.8579353734
321	0.8578004516
322	0.8575879195
323	0.8574626156
324	0.8573149706
325	0.8571677951
326	0.8570206377
327	0.8568404732
328	0.8566596299
329	0.8565068136
330	0.8563661852
331	0.8561358577
332	0.8559705749
333	0.8557773159
334	0.8556381385
335	0.8554300988
336	0.8552469422
337	0.8550958184
338	0.8549300977
339	0.854728648
340	0.8545475696
341	0.8543355346
342	0.8541822503
343	0.8540381138
344	0.853891383
345	0.8536284198
346	0.8534214757
347	0.8531533819
348	0.8529176759
349	0.8527033959
350	0.8525058422
351	0.8524000732
352	0.8522795929
353	0.8521397322
354	0.8519007015
355	0.8516582101
356	0.8514649915
357	0.8511965114
358	0.8510722273
359	0.8510196439
360	0.8509050343
361	0.8507862214
362	0.8506278739
363	0.8505096892
364	0.8503911471
365	0.8502305393
366	0.8500562274
367	0.8499036996
368	0.8496855724
369	0.8495297862
370	0.8493456723
371	0.849240979
372	0.84915699
373	0.8490012685
374	0.8488164367
375	0.8486098846
376	0.8483645982
377	0.8481575901
378	0.8480461922
379	0.8479144318
380	0.8477525777
381	0.8475317187
382	0.8472382129
383	0.8470949901
384	0.8468112993
385	0.8467066445
386	0.8465158767
387	0.8464234968
388	0.8461090873
389	0.8458708084
390	0.8456878754
391	0.8455246912
392	0.8453829082
393	0.8451674091
394	0.8451006195
395	0.844934251
396	0.8447987927
397	0.8447178074
398	0.8445939247
399	0.8444305827
400	0.8442533329
401	0.8441432262
402	0.8439468812
403	0.8438843599
404	0.8437844397
405	0.8436584399
406	0.8435502786
407	0.8433921474
408	0.8431621152
409	0.8430774123
410	0.8428879111
411	0.8426098098
412	0.8423965047
413	0.8422521689
414	0.8420396707
415	0.8418895775
416	0.8416641069
417	0.841586779
418	0.8414509755
419	0.8413584166
420	0.8412737351
421	0.8411272822
422	0.8410313146
423	0.8408294242
424	0.8406580729
425	0.8404589476
426	0.8402919827
427	0.8401547449
428	0.8399990265
429	0.839677028
430	0.839517083
431	0.8392974315
432	0.8391842829
433	0.8390311216
434	0.838757649
435	0.8386924485
436	0.8385669624
437	0.838328946
438	0.8382006161
439	0.8380323336
440	0.8378306542
441	0.8377499384
442	0.8375537551
443	0.8372819067
444	0.8371202905
445	0.8370447954
446	0.8368562664
447	0.836697394
448	0.8365900697
449	0.8365003674
450	0.8362707049
451	0.8360244683
452	0.8359131358
453	0.8357996374
454	0.835729251
455	0.8356082579
456	0.8353611209
457	0.8351744442
458	0.8350622511
459	0.8349418785
460	0.8348309366
461	0.8347097323
462	0.8344909318
463	0.8342641615
464	0.8341354668
465	0.8339527182
466	0.8338964393
467	0.8337420449
468	0.8335066473
469	0.8333843491
470	0.8331823793
471	0.8330216439
472	0.8329291
473	0.8328051684
474	0.8326726199
475	0.8325461323
476	0.8324355597
477	0.8322826527
478	0.8321582009
479	0.8320596692
480	0.8319430469
481	0.8317210681
482	0.831533426
483	0.8313493756
484	0.8311497154
485	0.8310100161
486	0.8307345161
487	0.8305426212
488	0.8303971576
489	0.8302318268
490	0.8300745146
491	0.8299509059
492	0.8297618257
493	0.8296040283
494	0.8294632142
495	0.8293198651
496	0.829255217
497	0.8290136558
498	0.8289116166
499	0.8288263393
